tempo;292s;temperatura;39.50°C
tempo;293s;temperatura;39.75°C
tempo;294s;temperatura;39.50°C
tempo;295s;temperatura;39.75°C
tempo;296s;temperatura;40.00°C
tempo;297s;temperatura;39.75°C
tempo;298s;temperatura;40.00°C
tempo;299s;temperatura;40.25°C
tempo;300s;temperatura;40.25°C
tempo;301s;temperatura;40.25°C
tempo;302s;temperatura;40.50°C
tempo;303s;temperatura;40.25°C
tempo;304s;temperatura;40.25°C
tempo;305s;temperatura;40.25°C
tempo;306s;temperatura;40.00°C
tempo;307s;temperatura;40.25°C
tempo;308s;temperatura;40.50°C
tempo;309s;temperatura;40.25°C
tempo;310s;temperatura;40.50°C
tempo;311s;temperatura;40.75°C
tempo;312s;temperatura;40.50°C
tempo;313s;temperatura;40.75°C
tempo;314s;temperatura;40.75°C
tempo;315s;temperatura;41.00°C
tempo;316s;temperatura;41.00°C
tempo;317s;temperatura;41.50°C
tempo;318s;temperatura;40.25°C
tempo;319s;temperatura;41.25°C
tempo;320s;temperatura;41.25°C
tempo;321s;temperatura;41.00°C
tempo;322s;temperatura;40.75°C
tempo;323s;temperatura;41.25°C
tempo;324s;temperatura;40.50°C
tempo;325s;temperatura;41.00°C
tempo;326s;temperatura;41.50°C
tempo;327s;temperatura;41.00°C
tempo;328s;temperatura;40.75°C
tempo;329s;temperatura;40.75°C
tempo;330s;temperatura;41.50°C
tempo;331s;temperatura;41.50°C
tempo;332s;temperatura;41.50°C
tempo;333s;temperatura;42.00°C
tempo;334s;temperatura;41.75°C
tempo;335s;temperatura;41.75°C
tempo;336s;temperatura;42.00°C
tempo;337s;temperatura;42.00°C
tempo;338s;temperatura;41.75°C
tempo;339s;temperatura;41.25°C
tempo;340s;temperatura;41.25°C
tempo;341s;temperatura;42.00°C
tempo;342s;temperatura;42.00°C
tempo;343s;temperatura;42.00°C
tempo;344s;temperatura;42.50°C
tempo;345s;temperatura;42.50°C
tempo;346s;temperatura;42.00°C
tempo;347s;temperatura;42.50°C
tempo;348s;temperatura;42.50°C
tempo;349s;temperatura;42.50°C
tempo;350s;temperatura;42.25°C
tempo;351s;temperatura;42.50°C
tempo;352s;temperatura;42.75°C
tempo;353s;temperatura;42.25°C
tempo;354s;temperatura;42.75°C
tempo;355s;temperatura;42.75°C
tempo;356s;temperatura;43.00°C
tempo;357s;temperatura;42.75°C
tempo;358s;temperatura;42.75°C
tempo;359s;temperatura;43.00°C
tempo;360s;temperatura;43.00°C
tempo;361s;temperatura;42.75°C
tempo;362s;temperatura;43.50°C
tempo;363s;temperatura;43.25°C
tempo;364s;temperatura;43.75°C
tempo;365s;temperatura;43.50°C
tempo;366s;temperatura;43.75°C
tempo;367s;temperatura;43.75°C
tempo;368s;temperatura;43.50°C
tempo;369s;temperatura;43.75°C
tempo;370s;temperatura;44.00°C
tempo;371s;temperatura;44.00°C
tempo;372s;temperatura;43.50°C
tempo;373s;temperatura;43.75°C
tempo;374s;temperatura;44.00°C
tempo;375s;temperatura;44.00°C
tempo;376s;temperatura;44.00°C
tempo;377s;temperatura;44.00°C
tempo;378s;temperatura;44.25°C
tempo;379s;temperatura;43.75°C
tempo;380s;temperatura;44.00°C
tempo;381s;temperatura;44.50°C
tempo;382s;temperatura;44.50°C
tempo;383s;temperatura;44.25°C
tempo;384s;temperatura;44.25°C
tempo;385s;temperatura;44.25°C
tempo;386s;temperatura;44.00°C
tempo;387s;temperatura;44.50°C
tempo;388s;temperatura;45.00°C
tempo;389s;temperatura;44.25°C
tempo;390s;temperatura;44.75°C
tempo;391s;temperatura;45.00°C
tempo;392s;temperatura;44.75°C
tempo;393s;temperatura;44.75°C
tempo;394s;temperatura;44.50°C
tempo;395s;temperatura;44.75°C
tempo;396s;temperatura;45.25°C
tempo;397s;temperatura;45.25°C
tempo;398s;temperatura;45.25°C
tempo;399s;temperatura;45.25°C
tempo;400s;temperatura;45.50°C
tempo;401s;temperatura;45.50°C
tempo;402s;temperatura;45.75°C
tempo;403s;temperatura;45.75°C
tempo;404s;temperatura;45.50°C
tempo;405s;temperatura;46.00°C
tempo;406s;temperatura;46.00°C
tempo;407s;temperatura;45.25°C
tempo;408s;temperatura;46.00°C
tempo;409s;temperatura;46.00°C
tempo;410s;temperatura;46.25°C
tempo;411s;temperatura;45.75°C
tempo;412s;temperatura;46.25°C
tempo;413s;temperatura;46.50°C
tempo;414s;temperatura;46.50°C
tempo;415s;temperatura;46.50°C
tempo;416s;temperatura;46.50°C
tempo;417s;temperatura;46.00°C
tempo;418s;temperatura;46.75°C
tempo;419s;temperatura;46.25°C
